qseqid,abundance,best_target_source_id,target_pident,target_length,target_bitscore,matched_primers,matched_primer_targets,n_primers_matched
M03520:605:000000000-LVNKY:1:1101:17001:7754,42557,A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,93.377,151,224,RH.27578A9A85FA4A3Z0Z_F; RH.27578A9A85FA4A3Z0Z_R,RH.27578A9A85FA4A3Z0Z,2
M03520:605:000000000-LVNKY:1:1101:7205:9535,41032,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,97.351,151,257,RH.DDB83AFF97C94C6Z0Z_R; RH.DDB83AFF97C94C6Z0Z_F,RH.DDB83AFF97C94C6Z0Z,2
M03520:605:000000000-LVNKY:1:1101:18889:1718,40583,A00405_539_HLLNCDSX3_4_2428_25979_27508_1_293_+_ea053f94656145d4f38e54ebc41708ef,100,126,233,RH.CF953F27F5674E1Z0Z_F; RH.CF953F27F5674E1Z0Z_R,RH.CF953F27F5674E1Z0Z,2
M03520:605:000000000-LVNKY:1:1110:17536:7590,40091,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,96.552,116,193,RH.DDB83AFF97C94C6Z0Z_R; RH.DDB83AFF97C94C6Z0Z_F,RH.DDB83AFF97C94C6Z0Z,2
M03520:605:000000000-LVNKY:1:1101:15039:17534,38292,A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,100,122,226,RH.6572108A164E48EZ0Z_R; RH.6572108A164E48EZ0Z_F,RH.6572108A164E48EZ0Z,2
M03520:605:000000000-LVNKY:1:1101:21902:4645,37487,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,97.987,149,259,RH.B9EF730EBE6C436Z0Z_F; RH.B9EF730EBE6C436Z0Z_R,RH.B9EF730EBE6C436Z0Z,2
M03520:605:000000000-LVNKY:1:1112:15285:27580,37411,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,100,115,213,RH.2AFFFBA0E81C482Z0Z_R; RH.2AFFFBA0E81C482Z0Z_F,RH.2AFFFBA0E81C482Z0Z,2
M03520:605:000000000-LVNKY:1:1104:12557:7147,36658,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1101:12388:2600,36303,A00405_539_HLLNCDSX3_4_2536_7952_30984_1_279_+_0477fcf26c74fdea1d47fdaf9816091b,100,150,278,RH.25F43EF2A0F1421Z0Z_F; RH.25F43EF2A0F1421Z0Z_R,RH.25F43EF2A0F1421Z0Z,2
M03520:605:000000000-LVNKY:1:1101:14609:1764,36009,A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,100,143,265,RH.40933F98BDDD40FZ0Z_F; RH.40933F98BDDD40FZ0Z_R,RH.40933F98BDDD40FZ0Z,2
M03520:605:000000000-LVNKY:1:1101:14756:5391,32080,A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece,100,151,279,RH.2091F326F74640CZ0Z_F; RH.2091F326F74640CZ0Z_R,RH.2091F326F74640CZ0Z,2
M03520:605:000000000-LVNKY:1:2110:15119:18631,30519,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1101:15415:1367,29697,A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,100,136,252,RH.44DCEC943BED412Z0Z_R; RH.44DCEC943BED412Z0Z_F,RH.44DCEC943BED412Z0Z,2
M03520:605:000000000-LVNKY:1:1107:16781:1770,29421,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,99.329,149,270,RH.B9EF730EBE6C436Z0Z_F; RH.B9EF730EBE6C436Z0Z_R,RH.B9EF730EBE6C436Z0Z,2
M03520:605:000000000-LVNKY:1:1101:10956:2832,28860,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,98.658,149,265,RH.B9EF730EBE6C436Z0Z_F; RH.B9EF730EBE6C436Z0Z_R,RH.B9EF730EBE6C436Z0Z,2
M03520:605:000000000-LVNKY:1:1102:13192:23467,27285,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1101:10216:5547,27268,A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,95.763,118,191,RH.0C6EF86AB29A422Z0Z_R; RH.0C6EF86AB29A422Z0Z_F,RH.0C6EF86AB29A422Z0Z,2
M03520:605:000000000-LVNKY:1:2112:25462:18071,27148,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:2105:17531:14170,26730,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1108:22913:24238,26004,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:2110:14939:24284,25218,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:2103:20532:25681,24545,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,100,115,213,RH.2AFFFBA0E81C482Z0Z_R; RH.2AFFFBA0E81C482Z0Z_F,RH.2AFFFBA0E81C482Z0Z,2
M03520:605:000000000-LVNKY:1:1101:15271:1642,24193,A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,100,134,248,RH.65A22C27EE034ECZ0Z_R; RH.65A22C27EE034ECZ0Z_F,RH.65A22C27EE034ECZ0Z,2
M03520:605:000000000-LVNKY:1:2101:27744:17939,23054,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1103:20873:26242,22656,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,100,115,213,RH.2AFFFBA0E81C482Z0Z_R; RH.2AFFFBA0E81C482Z0Z_F,RH.2AFFFBA0E81C482Z0Z,2
M03520:605:000000000-LVNKY:1:1101:23564:10199,22127,A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976,96.552,145,243,RH.DDB83AFF97C94C6Z0Z_R,RH.DDB83AFF97C94C6Z0Z,1
M03520:605:000000000-LVNKY:1:2114:12606:2056,21197,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1101:17497:2698,20461,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,100,115,213,RH.2AFFFBA0E81C482Z0Z_R; RH.2AFFFBA0E81C482Z0Z_F,RH.2AFFFBA0E81C482Z0Z,2
M03520:605:000000000-LVNKY:1:1101:14854:2015,20123,A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,96.581,117,195,RH.517A9FBA2B494D5Z0Z_F; RH.517A9FBA2B494D5Z0Z_R,RH.517A9FBA2B494D5Z0Z,2
M03520:605:000000000-LVNKY:1:2108:25832:16822,20123,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1101:17700:3522,19106,A00405_539_HLLNCDSX3_4_2434_5791_26678_1_293_+_4935421d650b2f8704a06e4772a37ebd,100,146,270,RH.04A0205BEA6C49EZ0Z_R; RH.04A0205BEA6C49EZ0Z_F,RH.04A0205BEA6C49EZ0Z,2
M03520:605:000000000-LVNKY:1:1101:23491:17095,18102,A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,100,140,259,RH.185D4E36BBF74FEZ0Z_F; RH.185D4E36BBF74FEZ0Z_R,RH.185D4E36BBF74FEZ0Z,2
M03520:605:000000000-LVNKY:1:1105:8629:6523,17024,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1110:16279:27575,17015,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,100,115,213,RH.2AFFFBA0E81C482Z0Z_R; RH.2AFFFBA0E81C482Z0Z_F,RH.2AFFFBA0E81C482Z0Z,2
M03520:605:000000000-LVNKY:1:1102:25779:22953,16901,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,100,115,213,RH.2AFFFBA0E81C482Z0Z_R; RH.2AFFFBA0E81C482Z0Z_F,RH.2AFFFBA0E81C482Z0Z,2
M03520:605:000000000-LVNKY:1:2112:12874:19543,16524,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1101:13598:2366,15979,A00405_539_HLLNCDSX3_4_2551_12111_17769_1_219_+_098c6c33e8818da39a9487e619435839,100,146,270,RH.228524764FCE499Z0Z_F; RH.228524764FCE499Z0Z_R,RH.228524764FCE499Z0Z,2
M03520:605:000000000-LVNKY:1:1101:7675:4704,15778,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,100,151,279,RH.CA1E204B0C0842DZ0Z_F; RH.E04EE94198274F7Z0Z_F; RH.CA1E204B0C0842DZ0Z_R,RH.CA1E204B0C0842DZ0Z; RH.E04EE94198274F7Z0Z,3
M03520:605:000000000-LVNKY:1:1102:22329:15696,15470,A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,100,125,231,RH.7CE39E25906745AZ0Z_R; RH.7CE39E25906745AZ0Z_F,RH.7CE39E25906745AZ0Z,2
M03520:605:000000000-LVNKY:1:1101:17582:2929,15158,A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,100,118,219,RH.0C6EF86AB29A422Z0Z_R; RH.0C6EF86AB29A422Z0Z_F,RH.0C6EF86AB29A422Z0Z,2
M03520:605:000000000-LVNKY:1:2112:20535:24324,14903,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1101:22861:14384,14773,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,99.324,148,268,RH.6408CE975B5340AZ0Z_F; RH.6408CE975B5340AZ0Z_R,RH.6408CE975B5340AZ0Z,2
M03520:605:000000000-LVNKY:1:1110:24634:20865,14696,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,100,116,215,RH.DDB83AFF97C94C6Z0Z_R; RH.DDB83AFF97C94C6Z0Z_F,RH.DDB83AFF97C94C6Z0Z,2
M03520:605:000000000-LVNKY:1:2103:8882:5870,14408,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,100,113,209,RH.51338FA06EDB4F0Z0Z_F; RH.51338FA06EDB4F0Z0Z_R,RH.51338FA06EDB4F0Z0Z,2
M03520:605:000000000-LVNKY:1:1101:13516:6988,14070,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,100,151,279,RH.DDB83AFF97C94C6Z0Z_R; RH.DDB83AFF97C94C6Z0Z_F,RH.DDB83AFF97C94C6Z0Z,2
M03520:605:000000000-LVNKY:1:1101:22615:3535,13657,A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,100,151,279,RH.541A1C9A5856408Z0Z_F,RH.541A1C9A5856408Z0Z,1
M03520:605:000000000-LVNKY:1:1101:21262:3305,13566,A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,100,117,217,RH.517A9FBA2B494D5Z0Z_F; RH.517A9FBA2B494D5Z0Z_R,RH.517A9FBA2B494D5Z0Z,2
M03520:605:000000000-LVNKY:1:2106:22086:25152,13457,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,99.13,115,207,RH.2AFFFBA0E81C482Z0Z_R; RH.2AFFFBA0E81C482Z0Z_F,RH.2AFFFBA0E81C482Z0Z,2
M03520:605:000000000-LVNKY:1:1101:15320:1537,13292,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,100,115,213,RH.2AFFFBA0E81C482Z0Z_R; RH.2AFFFBA0E81C482Z0Z_F,RH.2AFFFBA0E81C482Z0Z,2
M03520:605:000000000-LVNKY:1:1104:12292:6132,13209,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,100,113,209,RH.51338FA06EDB4F0Z0Z_R; RH.51338FA06EDB4F0Z0Z_F,RH.51338FA06EDB4F0Z0Z,2
M03520:605:000000000-LVNKY:1:1101:15989:6607,12420,A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,100,149,276,RH.EC6296CB62D84DBZ0Z_R; RH.EC6296CB62D84DBZ0Z_F,RH.EC6296CB62D84DBZ0Z,2
M03520:605:000000000-LVNKY:1:1101:12174:2124,11501,A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,100,133,246,RH.A2C9012430E34ADZ0Z_R; RH.A2C9012430E34ADZ0Z_F,RH.A2C9012430E34ADZ0Z,2
M03520:605:000000000-LVNKY:1:1110:7332:24460,11440,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,100,113,209,RH.51338FA06EDB4F0Z0Z_F; RH.51338FA06EDB4F0Z0Z_R,RH.51338FA06EDB4F0Z0Z,2
M03520:605:000000000-LVNKY:1:1104:21001:10035,11394,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,100,115,213,RH.2AFFFBA0E81C482Z0Z_R; RH.2AFFFBA0E81C482Z0Z_F,RH.2AFFFBA0E81C482Z0Z,2
M03520:605:000000000-LVNKY:1:2111:20772:18852,11384,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1101:21041:4164,11294,A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,94.262,122,187,RH.2A8AD21024974C0Z0Z_F; RH.2A8AD21024974C0Z0Z_R,RH.2A8AD21024974C0Z0Z,2
M03520:605:000000000-LVNKY:1:1101:18037:2609,11247,A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,95.726,117,189,RH.517A9FBA2B494D5Z0Z_F; RH.517A9FBA2B494D5Z0Z_R,RH.517A9FBA2B494D5Z0Z,2
M03520:605:000000000-LVNKY:1:1106:8887:23771,11052,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,100,113,209,RH.51338FA06EDB4F0Z0Z_F; RH.51338FA06EDB4F0Z0Z_R,RH.51338FA06EDB4F0Z0Z,2
M03520:605:000000000-LVNKY:1:1101:19568:5129,11039,A00405_539_HLLNCDSX3_4_2562_31548_9627_1_293_+_204cc0636a899ba3f5ce647fe945e729,99.338,151,274,RH.5F6424ABBC3C47BZ0Z_F,RH.5F6424ABBC3C47BZ0Z,1
M03520:605:000000000-LVNKY:1:1101:7714:17831,10989,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,100,115,213,RH.2AFFFBA0E81C482Z0Z_R; RH.2AFFFBA0E81C482Z0Z_F,RH.2AFFFBA0E81C482Z0Z,2
