target_id,sseqid,qseqid_F,pident_F,length_F,mismatch_F,gapopen_F,qstart_F,qend_F,sstart_F,send_F,evalue_F,bitscore_F,orientation_F,strand_F,pos_min_F,pos_max_F,qseqid_R,pident_R,length_R,mismatch_R,gapopen_R,qstart_R,qend_R,sstart_R,send_R,evalue_R,bitscore_R,orientation_R,strand_R,pos_min_R,pos_max_R,amplicon_dist
RH.300DF134D97F45BZ0Z,CP002008.1,RH.300DF134D97F45BZ0Z_F,90,20,2,0,1,20,1302760,1302741,80,24.3,F,-,1302741,1302760,RH.300DF134D97F45BZ0Z_R,100,23,0,0,1,23,1302607,1302629,2.19e-05,46.1,R,+,1302607,1302629,112
RH.300DF134D97F45BZ0Z,CP023313.2,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2833196,2833215,0.33,32.2,F,+,2833196,2833215,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2833349,2833327,0.005,38.2,R,-,2833327,2833349,112
RH.300DF134D97F45BZ0Z,CP023314.2,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2824067,2824086,0.33,32.2,F,+,2824067,2824086,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2824220,2824198,0.005,38.2,R,-,2824198,2824220,112
RH.300DF134D97F45BZ0Z,CP023315.3,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,1207766,1207747,0.33,32.2,F,-,1207747,1207766,RH.300DF134D97F45BZ0Z_R,91.304,23,2,0,1,23,1207613,1207635,1.3,30.2,R,+,1207613,1207635,112
RH.300DF134D97F45BZ0Z,CP027850.1,RH.300DF134D97F45BZ0Z_F,90,20,2,0,1,20,1302700,1302681,80,24.3,F,-,1302681,1302700,RH.300DF134D97F45BZ0Z_R,100,23,0,0,1,23,1302547,1302569,2.19e-05,46.1,R,+,1302547,1302569,112
RH.300DF134D97F45BZ0Z,CP033875.1,RH.300DF134D97F45BZ0Z_F,100,23,0,0,1,23,3228741,3228763,2.19e-05,46.1,F,+,3228741,3228763,RH.300DF134D97F45BZ0Z_R,100,23,0,0,1,23,3228894,3228872,2.19e-05,46.1,R,-,3228872,3228894,109
RH.300DF134D97F45BZ0Z,CP034122.1,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2725900,2725919,0.33,32.2,F,+,2725900,2725919,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2726053,2726031,0.005,38.2,R,-,2726031,2726053,112
RH.300DF134D97F45BZ0Z,CP079926.1,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2746856,2746875,0.33,32.2,F,+,2746856,2746875,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2747009,2746987,0.005,38.2,R,-,2746987,2747009,112
RH.300DF134D97F45BZ0Z,CP189825.1,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2830716,2830735,0.33,32.2,F,+,2830716,2830735,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2830869,2830847,0.005,38.2,R,-,2830847,2830869,112
RH.300DF134D97F45BZ0Z,NC_011916.1,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2730254,2730273,0.33,32.2,F,+,2730254,2730273,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2730407,2730385,0.005,38.2,R,-,2730385,2730407,112
RH.300DF134D97F45BZ0Z,NZ_CP023313.2,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2833196,2833215,0.33,32.2,F,+,2833196,2833215,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2833349,2833327,0.005,38.2,R,-,2833327,2833349,112
RH.300DF134D97F45BZ0Z,NZ_CP023314.2,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2824067,2824086,0.33,32.2,F,+,2824067,2824086,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2824220,2824198,0.005,38.2,R,-,2824198,2824220,112
RH.300DF134D97F45BZ0Z,NZ_CP023315.3,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,1207766,1207747,0.33,32.2,F,-,1207747,1207766,RH.300DF134D97F45BZ0Z_R,91.304,23,2,0,1,23,1207613,1207635,1.3,30.2,R,+,1207613,1207635,112
RH.300DF134D97F45BZ0Z,NZ_CP027850.1,RH.300DF134D97F45BZ0Z_F,90,20,2,0,1,20,1302700,1302681,80,24.3,F,-,1302681,1302700,RH.300DF134D97F45BZ0Z_R,100,23,0,0,1,23,1302547,1302569,2.19e-05,46.1,R,+,1302547,1302569,112
RH.300DF134D97F45BZ0Z,NZ_CP033875.1,RH.300DF134D97F45BZ0Z_F,100,23,0,0,1,23,3228741,3228763,2.19e-05,46.1,F,+,3228741,3228763,RH.300DF134D97F45BZ0Z_R,100,23,0,0,1,23,3228894,3228872,2.19e-05,46.1,R,-,3228872,3228894,109
RH.300DF134D97F45BZ0Z,NZ_CP034122.1,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2725900,2725919,0.33,32.2,F,+,2725900,2725919,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2726053,2726031,0.005,38.2,R,-,2726031,2726053,112
RH.300DF134D97F45BZ0Z,NZ_CP079926.1,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2746856,2746875,0.33,32.2,F,+,2746856,2746875,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2747009,2746987,0.005,38.2,R,-,2746987,2747009,112
RH.300DF134D97F45BZ0Z,NZ_CP189825.1,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2830716,2830735,0.33,32.2,F,+,2830716,2830735,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2830869,2830847,0.005,38.2,R,-,2830847,2830869,112
RH.78B83B8D6A224B1Z0Z,AE005673.1,RH.78B83B8D6A224B1Z0Z_F,95.455,22,1,0,1,22,62392,62413,0.018,36.2,F,+,62392,62413,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,62526,62504,0.005,38.2,R,-,62504,62526,91
RH.78B83B8D6A224B1Z0Z,CP001340.1,RH.78B83B8D6A224B1Z0Z_F,95.455,22,1,0,1,22,62392,62413,0.018,36.2,F,+,62392,62413,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,62526,62504,0.005,38.2,R,-,62504,62526,91
RH.78B83B8D6A224B1Z0Z,CP002008.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,18728,18707,7.59e-05,44.1,F,-,18707,18728,RH.78B83B8D6A224B1Z0Z_R,100,23,0,0,1,23,18594,18616,2.19e-05,46.1,R,+,18594,18616,91
RH.78B83B8D6A224B1Z0Z,CP013002.1,RH.78B83B8D6A224B1Z0Z_F,90.909,22,2,0,1,22,23991,23970,4.5,28.2,F,-,23970,23991,RH.78B83B8D6A224B1Z0Z_R,91.304,23,2,0,1,23,23857,23879,1.3,30.2,R,+,23857,23879,91
RH.78B83B8D6A224B1Z0Z,CP023313.2,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,64196,64217,7.59e-05,44.1,F,+,64196,64217,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,64330,64308,0.005,38.2,R,-,64308,64330,91
RH.78B83B8D6A224B1Z0Z,CP023314.2,RH.78B83B8D6A224B1Z0Z_F,95.455,22,1,0,1,22,62392,62413,0.018,36.2,F,+,62392,62413,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,62526,62504,0.005,38.2,R,-,62504,62526,91
RH.78B83B8D6A224B1Z0Z,CP023315.3,RH.78B83B8D6A224B1Z0Z_F,95.455,22,1,0,1,22,63344,63365,0.018,36.2,F,+,63344,63365,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,63478,63456,0.005,38.2,R,-,63456,63478,91
RH.78B83B8D6A224B1Z0Z,CP027850.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,18727,18706,7.59e-05,44.1,F,-,18706,18727,RH.78B83B8D6A224B1Z0Z_R,100,23,0,0,1,23,18593,18615,2.19e-05,46.1,R,+,18593,18615,91
RH.78B83B8D6A224B1Z0Z,CP033875.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,55786,55807,7.59e-05,44.1,F,+,55786,55807,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,55920,55898,0.005,38.2,R,-,55898,55920,91
RH.78B83B8D6A224B1Z0Z,CP034122.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,61864,61885,7.59e-05,44.1,F,+,61864,61885,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,61998,61976,0.005,38.2,R,-,61976,61998,91
RH.78B83B8D6A224B1Z0Z,CP048815.1,RH.78B83B8D6A224B1Z0Z_F,95.455,22,1,0,1,22,20388,20367,0.018,36.2,F,-,20367,20388,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,20254,20276,0.005,38.2,R,+,20254,20276,91
RH.78B83B8D6A224B1Z0Z,CP079926.1,RH.78B83B8D6A224B1Z0Z_F,95.455,22,1,0,1,22,62253,62274,0.018,36.2,F,+,62253,62274,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,62387,62365,0.005,38.2,R,-,62365,62387,91
RH.78B83B8D6A224B1Z0Z,CP082923.1,RH.78B83B8D6A224B1Z0Z_F,100,20,0,0,1,20,20890,20871,0.001,40.1,F,-,20871,20890,RH.78B83B8D6A224B1Z0Z_R,100,21,0,0,1,21,20756,20776,0.000343,42.1,R,+,20756,20776,95
RH.78B83B8D6A224B1Z0Z,CP096040.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,5606308,5606329,7.59e-05,44.1,F,+,5606308,5606329,RH.78B83B8D6A224B1Z0Z_R,91.304,23,2,0,1,23,5606442,5606420,1.3,30.2,R,-,5606420,5606442,91
RH.78B83B8D6A224B1Z0Z,CP171994.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,1520154,1520133,7.59e-05,44.1,F,-,1520133,1520154,RH.78B83B8D6A224B1Z0Z_R,100,23,0,0,1,23,1520020,1520042,2.19e-05,46.1,R,+,1520020,1520042,91
RH.78B83B8D6A224B1Z0Z,CP183329.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,3794184,3794163,7.59e-05,44.1,F,-,3794163,3794184,RH.78B83B8D6A224B1Z0Z_R,100,19,0,0,5,23,3794054,3794072,0.005,38.2,R,+,3794054,3794072,91
RH.78B83B8D6A224B1Z0Z,CP183331.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,106015,106036,7.59e-05,44.1,F,+,106015,106036,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,106149,106127,0.005,38.2,R,-,106127,106149,91
RH.78B83B8D6A224B1Z0Z,CP183332.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,3866313,3866292,7.59e-05,44.1,F,-,3866292,3866313,RH.78B83B8D6A224B1Z0Z_R,100,19,0,0,5,23,3866183,3866201,0.005,38.2,R,+,3866183,3866201,91
RH.78B83B8D6A224B1Z0Z,CP189825.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,64196,64217,7.59e-05,44.1,F,+,64196,64217,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,64330,64308,0.005,38.2,R,-,64308,64330,91
RH.78B83B8D6A224B1Z0Z,NC_011916.1,RH.78B83B8D6A224B1Z0Z_F,95.455,22,1,0,1,22,62392,62413,0.018,36.2,F,+,62392,62413,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,62526,62504,0.005,38.2,R,-,62504,62526,91
RH.78B83B8D6A224B1Z0Z,NZ_CP013002.1,RH.78B83B8D6A224B1Z0Z_F,90.909,22,2,0,1,22,23991,23970,4.5,28.2,F,-,23970,23991,RH.78B83B8D6A224B1Z0Z_R,91.304,23,2,0,1,23,23857,23879,1.3,30.2,R,+,23857,23879,91
RH.78B83B8D6A224B1Z0Z,NZ_CP023313.2,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,64196,64217,7.59e-05,44.1,F,+,64196,64217,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,64330,64308,0.005,38.2,R,-,64308,64330,91
RH.78B83B8D6A224B1Z0Z,NZ_CP023314.2,RH.78B83B8D6A224B1Z0Z_F,95.455,22,1,0,1,22,62392,62413,0.018,36.2,F,+,62392,62413,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,62526,62504,0.005,38.2,R,-,62504,62526,91
RH.78B83B8D6A224B1Z0Z,NZ_CP023315.3,RH.78B83B8D6A224B1Z0Z_F,95.455,22,1,0,1,22,63344,63365,0.018,36.2,F,+,63344,63365,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,63478,63456,0.005,38.2,R,-,63456,63478,91
RH.78B83B8D6A224B1Z0Z,NZ_CP027850.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,18727,18706,7.59e-05,44.1,F,-,18706,18727,RH.78B83B8D6A224B1Z0Z_R,100,23,0,0,1,23,18593,18615,2.19e-05,46.1,R,+,18593,18615,91
RH.78B83B8D6A224B1Z0Z,NZ_CP033875.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,55786,55807,7.59e-05,44.1,F,+,55786,55807,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,55920,55898,0.005,38.2,R,-,55898,55920,91
RH.78B83B8D6A224B1Z0Z,NZ_CP034122.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,61864,61885,7.59e-05,44.1,F,+,61864,61885,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,61998,61976,0.005,38.2,R,-,61976,61998,91
RH.78B83B8D6A224B1Z0Z,NZ_CP048815.1,RH.78B83B8D6A224B1Z0Z_F,95.455,22,1,0,1,22,20388,20367,0.018,36.2,F,-,20367,20388,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,20254,20276,0.005,38.2,R,+,20254,20276,91
RH.78B83B8D6A224B1Z0Z,NZ_CP079926.1,RH.78B83B8D6A224B1Z0Z_F,95.455,22,1,0,1,22,62253,62274,0.018,36.2,F,+,62253,62274,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,62387,62365,0.005,38.2,R,-,62365,62387,91
RH.78B83B8D6A224B1Z0Z,NZ_CP082923.1,RH.78B83B8D6A224B1Z0Z_F,100,20,0,0,1,20,20890,20871,0.001,40.1,F,-,20871,20890,RH.78B83B8D6A224B1Z0Z_R,100,21,0,0,1,21,20756,20776,0.000343,42.1,R,+,20756,20776,95
RH.78B83B8D6A224B1Z0Z,NZ_CP096040.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,5606308,5606329,7.59e-05,44.1,F,+,5606308,5606329,RH.78B83B8D6A224B1Z0Z_R,91.304,23,2,0,1,23,5606442,5606420,1.3,30.2,R,-,5606420,5606442,91
RH.78B83B8D6A224B1Z0Z,NZ_CP171994.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,1520154,1520133,7.59e-05,44.1,F,-,1520133,1520154,RH.78B83B8D6A224B1Z0Z_R,100,23,0,0,1,23,1520020,1520042,2.19e-05,46.1,R,+,1520020,1520042,91
RH.78B83B8D6A224B1Z0Z,NZ_CP183329.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,3794184,3794163,7.59e-05,44.1,F,-,3794163,3794184,RH.78B83B8D6A224B1Z0Z_R,100,19,0,0,5,23,3794054,3794072,0.005,38.2,R,+,3794054,3794072,91
