qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,positive_pct,qframe,sframe
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,WP_336446923.1,87.629,97,12,0,1,291,277,373,7.03e-55,186,92.78,1,0
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,WP_136957709.1,84.536,97,15,0,1,291,277,373,3.23e-54,184,94.85,1,0
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,WP_481865660.1,82.474,97,17,0,1,291,291,387,2.3e-53,182,90.72,1,0
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,MBJ7253459.1,82.474,97,17,0,1,291,277,373,2.41e-52,179,89.69,1,0
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,WP_008060652.1,98.864,88,1,0,1,264,317,404,1.12e-53,182,98.86,1,0
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,WP_029143622.1,71.591,88,25,0,1,264,317,404,2.68e-33,129,73.86,1,0
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,MFZ5456240.1,70.455,88,26,0,1,264,128,215,3.72e-34,127,72.73,1,0
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,MBU0603929.1,61.25,80,31,0,1,240,317,396,1.59e-24,105,71.25,1,0
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,HMA33409.1,59.494,79,32,0,1,237,58,136,6.81e-25,100,70.89,1,0
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,WP_084277342.1,100,70,0,0,1,210,212,281,2.25e-38,141,100,1,0
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,WP_371388748.1,72.857,70,19,0,1,210,212,281,1.4e-26,110,91.43,1,0
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,KFL46286.1,74.627,67,17,0,10,210,175,241,5.92e-26,108,92.54,1,0
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,WP_190287357.1,78.125,64,14,0,1,192,212,275,3.24e-25,107,92.19,1,0
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,WP_150756975.1,75.758,66,16,0,1,198,212,277,2.01e-20,94,93.94,1,0
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,MID1952695.1,98.969,97,1,0,1,291,89,185,1.14e-58,191,98.97,1,0
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,WP_374614872.1,98.969,97,1,0,1,291,242,338,5.06e-57,191,98.97,1,0
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,MEY4869394.1,93.814,97,6,0,1,291,5,101,4.1e-48,162,97.94,1,0
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,MFN5632878.1,93.814,97,6,0,1,291,90,186,2.86e-47,162,97.94,1,0
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,MEN9393092.1,93.814,97,6,0,1,291,126,222,9.16e-47,162,97.94,1,0
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,WP_298603505.1,98.824,85,1,0,1,255,73,157,1.25e-50,175,98.82,1,0
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,MFM2256253.1,97.647,85,2,0,1,255,73,157,5.72e-53,172,98.82,1,0
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,HEX4873668.1,96.471,85,3,0,1,255,73,157,1.88e-51,171,97.65,1,0
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,WP_422250372.1,91.765,85,7,0,1,255,73,157,5.24e-48,168,98.82,1,0
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,WP_425232019.1,91.765,85,7,0,1,255,73,157,7.69e-48,167,98.82,1,0
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,WP_293676780.1,87.5,88,11,0,1,264,242,329,3.5e-44,157,95.45,1,0
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,WP_377371426.1,86.364,88,12,0,1,264,242,329,1.75e-43,155,95.45,1,0
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,WP_374344446.1,82.955,88,15,0,1,264,242,329,3.65e-41,149,93.18,1,0
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,MES2086790.1,79.545,88,18,0,1,264,249,336,9.03e-41,149,90.91,1,0
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,WP_331504689.1,82.955,88,15,0,1,264,242,329,1.3e-40,148,88.64,1,0
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,WP_298603505.1,97.701,87,2,0,22,282,199,285,5.64e-54,184,98.85,1,0
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,MGL5837057.1,91.954,87,7,0,22,282,199,285,1.55e-49,172,95.4,1,0
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,MFM6852787.1,90.698,86,8,0,25,282,149,234,2.8e-49,169,96.51,1,0
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,MGB5076494.1,90.698,86,8,0,25,282,200,285,1.92e-48,168,95.35,1,0
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,WP_425232019.1,86.207,87,12,0,22,282,199,285,1.05e-47,168,93.1,1,0
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,WP_115548167.1,100,96,0,0,1,288,208,303,1.37e-58,195,100,1,0
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,MEW6404176.1,98.889,90,1,0,19,288,1,90,6.9e-56,182,98.89,1,0
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,NBU84939.1,84.375,96,15,0,1,288,208,303,4.85e-48,168,90.62,1,0
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,WP_264425172.1,83.158,95,16,0,4,288,209,303,1.46e-46,164,90.53,1,0
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,WP_072383540.1,81.25,96,18,0,1,288,207,302,1.53e-46,164,91.67,1,0
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,WP_339967613.1,89.583,96,10,0,1,288,202,297,2.77e-53,181,97.92,1,0
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,MEN9728357.1,61.628,86,33,0,28,285,206,291,3.17e-28,116,80.23,1,0
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,MEC7910175.1,56.818,88,38,0,25,288,39,126,1.89e-27,110,77.27,1,0
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,MDP6181119.1,56.818,88,38,0,25,288,205,292,2.49e-26,110,78.41,1,0
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,MCH2271780.1,56.818,88,38,0,25,288,203,290,2.7e-26,110,77.27,1,0
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,WP_115547866.1,100,96,0,0,1,288,258,353,1.99e-61,202,100,1,0
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,WP_484375748.1,90.625,96,9,0,1,288,258,353,3.63e-55,186,96.88,1,0
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,WP_298291500.1,82.105,95,17,0,4,288,259,353,4.64e-48,167,89.47,1,0
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,MHK8445800.1,77.895,95,21,0,4,288,259,353,2.04e-45,160,88.42,1,0
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,WP_374283858.1,77.895,95,21,0,4,288,260,354,1.64e-44,158,85.26,1,0
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,WP_028710496.1,73.333,75,20,0,1,225,269,343,3.08e-29,117,85.33,1,0
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,MFW6076644.1,66.667,75,25,0,1,225,270,344,1.31e-23,102,74.67,1,0
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,MGE0501687.1,58.904,73,30,0,10,228,267,339,3.82e-21,95.9,75.34,1,0
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,WP_061126389.1,60.811,74,29,0,7,228,273,346,7.02e-21,95.1,70.27,1,0
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,MFW6077769.1,63.014,73,27,0,7,225,115,187,2.21e-21,94.4,72.6,1,0
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,WP_109798736.1,96.386,83,3,0,1,249,277,359,1.23e-48,169,100,1,0
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,WP_011906925.1,89.157,83,9,0,1,249,277,359,2.64e-44,157,92.77,1,0
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,WP_168852109.1,87.952,83,10,0,1,249,277,359,1.31e-43,155,93.98,1,0
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,HXD03178.1,85.366,82,12,0,1,246,277,358,2.28e-42,152,93.9,1,0
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,WP_374285160.1,85.366,82,12,0,1,246,277,358,7.74e-42,151,91.46,1,0
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,WP_409762215.1,96.739,92,3,0,1,276,42,133,1.31e-55,188,98.91,1,0
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,WP_379729808.1,93.478,92,6,0,1,276,41,132,1.14e-52,180,97.83,1,0
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,WP_341704967.1,90.217,92,9,0,1,276,44,135,1.58e-50,175,96.74,1,0
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,MIB6108210.1,86.957,92,12,0,1,276,16,107,3.05e-49,171,94.57,1,0
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,WP_330887457.1,87.097,93,11,1,1,276,44,136,7.21e-49,170,93.55,1,0
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,WP_422060752.1,97.938,97,2,0,1,291,176,272,1.57e-58,194,98.97,1,0
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,MHL4154267.1,50,96,48,0,4,291,182,277,6.45e-24,103,68.75,1,0
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,WP_198058446.1,52.041,98,45,2,1,288,180,277,2.09e-23,103,70.41,1,0
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,MHL4586217.1,49.485,97,49,0,1,291,181,277,3.32e-23,102,68.04,1,0
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,MFN0219698.1,52.688,93,44,0,13,291,182,274,3.88e-23,102,72.04,1,0
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,MCW5906775.1,71.429,91,26,0,1,273,331,421,3.94e-41,150,84.62,1,0
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,MCX6199451.1,65.934,91,31,0,1,273,325,415,1.76e-39,146,84.62,1,0
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,MDB5283901.1,66.667,93,31,0,1,279,318,410,3.59e-38,142,82.8,1,0
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,MBP6732044.1,63.736,91,33,0,1,273,325,415,1.15e-37,141,84.62,1,0
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,MES2619779.1,67.033,91,30,0,1,273,329,419,1.95e-37,140,82.42,1,0
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,MFP5433904.1,100,82,0,0,16,261,63,144,2.25e-53,175,100,1,0
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,WP_037523180.1,96.341,82,3,0,16,261,284,365,1.26e-48,169,97.56,1,0
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,MHK4618450.1,84.146,82,13,0,16,261,284,365,1.71e-41,150,90.24,1,0
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,MPT46965.1,82.927,82,14,0,16,261,284,365,6.14e-41,149,91.46,1,0
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,WP_169574409.1,84.146,82,13,0,16,261,283,364,1.53e-40,148,90.24,1,0
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,MFN4097559.1,94.792,96,5,0,1,288,4,99,2.85e-49,165,96.88,1,0
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,WP_488275682.1,93.75,96,6,0,1,288,203,298,1.02e-45,162,95.83,1,0
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,PKP94517.1,91.667,96,8,0,1,288,203,298,4.89e-44,157,94.79,1,0
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,WP_264938228.1,90.625,96,9,0,1,288,204,299,5.15e-44,157,94.79,1,0
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,MEG3180888.1,90.625,96,9,0,1,288,203,298,1.35e-43,156,95.83,1,0
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,WP_298603505.1,95.789,95,4,0,1,285,242,336,2.98e-57,192,100,1,0
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,MGB5076494.1,88.421,95,11,0,1,285,242,336,2.33e-52,178,92.63,1,0
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,WP_425232019.1,84.211,95,15,0,1,285,242,336,1.86e-50,175,96.84,1,0
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,MFM6852787.1,85.263,95,14,0,1,285,191,285,6.42e-51,174,93.68,1,0
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,MEE9434497.1,77.895,95,21,0,1,285,242,336,6.49e-48,168,92.63,1,0
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,MGE0883994.1,100,75,0,0,1,225,12,86,5.75e-41,153,100,1,0
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,MBL8192081.1,98.667,75,1,0,1,225,12,86,1.38e-43,152,100,1,0
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,MHS1996879.1,96,75,3,0,1,225,12,86,4.08e-40,150,100,1,0
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,MBP6824197.1,97.333,75,2,0,1,225,12,86,9.43e-40,149,98.67,1,0
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,HQR31512.1,96,75,3,0,1,225,12,86,1.09e-39,149,98.67,1,0
A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,WP_298603505.1,98.734,79,1,0,1,237,284,362,1.22e-45,162,98.73,1,0
A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,MEW6575432.1,94.937,79,4,0,1,237,8,86,4.05e-47,158,98.73,1,0
A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,WP_425232019.1,75.949,79,19,0,1,237,284,362,1.13e-34,133,87.34,1,0
A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,MGH8335705.1,80.263,76,15,0,1,228,234,309,3.99e-34,129,86.84,1,0
A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,MFM6852787.1,76.623,77,18,0,1,231,233,309,4.86e-34,129,88.31,1,0
A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece,MBP6380673.1,98.969,97,1,0,1,291,125,221,3.07e-60,197,100,1,0
A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece,HMU21302.1,97.938,97,2,0,1,291,225,321,8.33e-60,196,100,1,0
A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece,WP_374612263.1,97.938,97,2,0,1,291,225,321,5.55e-58,194,97.94,1,0
A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece,MEQ1539699.1,90.722,97,9,0,1,291,225,321,2.84e-53,182,94.85,1,0
A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece,MIH7390121.1,84.375,96,15,0,4,291,226,321,7.93e-49,170,93.75,1,0
A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,WP_298603505.1,100,92,0,0,1,276,359,450,1.75e-60,201,100,1,0
A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,MEW6575432.1,96.739,92,3,0,1,276,83,174,1.83e-61,195,98.91,1,0
A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,MEY4869710.1,92.391,92,7,0,1,276,35,126,7.68e-59,186,95.65,1,0
A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,MGL5837057.1,89.13,92,10,0,1,276,359,450,5.37e-54,184,93.48,1,0
A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,MEQ1540552.1,86.957,92,12,0,1,276,113,204,1.04e-55,181,94.57,1,0
A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,WP_298602577.1,97.938,97,2,0,1,291,1,97,2.2e-60,197,100,1,0
A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,WP_324336981.1,93.814,97,6,0,1,291,91,187,1.83e-57,192,97.94,1,0
A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,MBK8629099.1,84.536,97,15,0,1,291,91,187,3.32e-50,174,93.81,1,0
A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,HMT44518.1,78.351,97,21,0,1,291,91,187,5.15e-46,163,88.66,1,0
A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,WP_169945274.1,69.072,97,30,0,1,291,99,195,3.23e-37,140,80.41,1,0
A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,CCO96852.1,98.969,97,1,0,1,291,90,186,6.12e-51,170,100,1,0
A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,WP_293365598.1,93.814,97,6,0,1,291,225,321,5.36e-45,160,96.91,1,0
A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,WP_304807592.1,91.753,97,8,0,1,291,3,99,5.11e-46,157,95.88,1,0
A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,WP_254834104.1,86.598,97,13,0,1,291,228,324,1.44e-42,154,95.88,1,0
A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,WP_421936088.1,87.629,97,12,0,1,291,225,321,4.02e-42,152,97.94,1,0
A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,WP_374614872.1,89.157,83,9,0,1,249,350,432,3.41e-48,169,93.98,1,0
A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,MID1952695.1,91.566,83,7,0,1,249,197,279,2.32e-49,167,95.18,1,0
A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,MBK7161286.1,93.976,83,5,0,1,249,5,87,8.51e-51,165,96.39,1,0
A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,MEN9393092.1,91.566,83,7,0,1,249,234,316,5.57e-48,165,95.18,1,0
A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,MFN5632878.1,91.566,83,7,0,1,249,198,280,3.37e-48,164,95.18,1,0
