qseqid,qlen,hit_num,accession,title,sciname,taxid,pident,align_len,evalue,bitscore
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,291,4,MFN5632878,cytochrome P450 [Sphingomonadales bacterium],Sphingomonadales bacterium,1978525,93.81,97,2.86E-47,162.54
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,291,5,MEN9393092,hypothetical protein [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,93.81,97,9.16E-47,162.54
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,291,3,MEY4869394,hypothetical protein [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,93.81,97,4.10E-48,162.155
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,255,3,WP_298603505,cytochrome P450 [uncultured Sphingorhabdus sp.],uncultured Sphingorhabdus sp.,1686106,98.82,85,1.25E-50,175.252
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,255,1,MFM2256253,hypothetical protein [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,97.65,85,5.72E-53,172.94
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,255,2,HEX4873668,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,96.47,85,1.88E-51,171.014
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,255,6,WP_422250372,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,91.76,85,5.24E-48,168.318
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,255,7,WP_425232019,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,91.76,85,7.69E-48,167.933
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,264,1,WP_293676780,cytochrome P450 [uncultured Phenylobacterium sp.],uncultured Phenylobacterium sp.,349273,87.5,88,3.50E-44,157.532
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,264,2,WP_377371426,cytochrome P450 [Phenylobacterium ferrooxidans],Phenylobacterium ferrooxidans,2982689,86.36,88,1.75E-43,155.992
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,264,3,WP_374344446,cytochrome P450 [Phenylobacterium sp.],Phenylobacterium sp.,1871053,82.95,88,3.65E-41,149.828
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,264,5,MES2086790,cytochrome P450 [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,79.55,88,9.03E-41,149.058
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,264,6,WP_331504689,cytochrome P450 [Phenylobacterium sp.],Phenylobacterium sp.,1871053,82.95,88,1.30E-40,148.288
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,285,1,WP_298603505,cytochrome P450 [uncultured Sphingorhabdus sp.],uncultured Sphingorhabdus sp.,1686106,97.7,87,5.64E-54,184.496
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,285,2,MGL5837057,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,91.95,87,1.55E-49,172.94
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,285,3,MFM6852787,cytochrome P450 [Sphingopyxis sp.],Sphingopyxis sp.,1908224,90.7,86,2.80E-49,169.859
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,285,4,MGB5076494,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,90.7,86,1.92E-48,168.703
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,285,6,WP_425232019,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,86.21,87,1.05E-47,168.318
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,288,1,WP_115548167,cytochrome P450 [Sphingorhabdus pulchriflava],Sphingorhabdus pulchriflava,2292257,100,96,1.37E-58,195.667
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,288,2,MEW6404176,cytochrome P450 [Chloroflexota bacterium],Chloroflexota bacterium,2026724,98.89,90,6.90E-56,182.185
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,288,3,NBU84939,cytochrome P450 [Sphingomonadaceae bacterium],Sphingomonadaceae bacterium,1930536,84.38,96,4.85E-48,168.318
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,288,4,WP_264425172,MULTISPECIES: cytochrome P450 [unclassified Novosphingobium],unclassified Novosphingobium,2644732,83.16,95,1.46E-46,164.466
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,288,5,WP_072383540,cytochrome P450 [Novosphingobium sp. NDB2Meth1],Novosphingobium sp. NDB2Meth1,1892847,81.25,96,1.53E-46,164.466
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,288,1,WP_339967613,cytochrome P450 [Novosphingobium aquae],Novosphingobium aquae,3133435,89.58,96,2.77E-53,181.8
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,288,2,MEN9728357,hypothetical protein [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,61.63,86,3.17E-28,116.316
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,288,3,MEC7910175,cytochrome P450 [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,56.82,88,1.89E-27,110.923
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,288,4,MDP6181119,cytochrome P450 [SAR86 cluster bacterium],SAR86 cluster bacterium,2030880,56.82,88,2.49E-26,110.923
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,288,5,MCH2271780,cytochrome P450 [SAR86 cluster bacterium],SAR86 cluster bacterium,2030880,56.82,88,2.70E-26,110.923
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,288,1,WP_115547866,cytochrome P450 [Sphingorhabdus pulchriflava],Sphingorhabdus pulchriflava,2292257,100,96,1.99E-61,202.216
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,288,2,WP_484375748,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,90.62,96,3.63E-55,186.422
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,288,3,WP_298291500,cytochrome P450 [Novosphingobium sp.],Novosphingobium sp.,1874826,82.11,95,4.64E-48,167.933
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,288,4,MHK8445800,cytochrome P450 [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,77.89,95,2.04E-45,160.999
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,288,5,WP_374283858,cytochrome P450 [Novosphingobium sp.],Novosphingobium sp.,1874826,77.89,95,1.64E-44,158.688
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,228,1,WP_028710496,cytochrome P450 [Paracoccus pantotrophus],Paracoccus pantotrophus,82367,73.33,75,3.08E-29,117.857
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,228,2,MFW6076644,cytochrome P450 [Hyphomicrobiales bacterium],Hyphomicrobiales bacterium,1909294,66.67,75,1.31E-23,102.834
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,228,4,MGE0501687,cytochrome P450 [Rhizobiaceae bacterium],Rhizobiaceae bacterium,1913961,58.9,73,3.82E-21,95.9005
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,228,5,WP_061126389,cytochrome P450 [Caballeronia catudaia],Caballeronia catudaia,1777136,60.81,74,7.02E-21,95.1301
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,228,3,MFW6077769,cytochrome P450 [Hyphomicrobiales bacterium],Hyphomicrobiales bacterium,1909294,63.01,73,2.21E-21,94.3597
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,249,1,WP_109798736,MULTISPECIES: cytochrome P450 [Novosphingobium],Novosphingobium,165696,96.39,83,1.23E-48,169.088
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,249,2,WP_011906925,cytochrome P450 [Novosphingobium aromaticivorans],Novosphingobium aromaticivorans,48935,89.16,83,2.64E-44,157.918
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,249,3,WP_168852109,cytochrome P450 [Novosphingobium sp. ERN07],Novosphingobium sp. ERN07,2726187,87.95,83,1.31E-43,155.992
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,249,4,HXD03178,cytochrome P450 [Novosphingobium sp.],Novosphingobium sp.,1874826,85.37,82,2.28E-42,152.91
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,249,5,WP_374285160,cytochrome P450 [Novosphingobium sp.],Novosphingobium sp.,1874826,85.37,82,7.74E-42,151.369
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,276,1,WP_409762215,cytochrome P450 [Ferrovibrio sp.],Ferrovibrio sp.,1917215,96.74,92,1.31E-55,188.348
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,276,2,WP_379729808,cytochrome P450 [Ferrovibrio xuzhouensis],Ferrovibrio xuzhouensis,1576914,93.48,92,1.14E-52,180.644
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,276,3,WP_341704967,cytochrome P450 [Ferrovibrio sp.],Ferrovibrio sp.,1917215,90.22,92,1.58E-50,175.252
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,276,4,MIB6108210,cytochrome P450 [Ferrovibrio sp. GW821-FHT12B10],Ferrovibrio sp. GW821-FHT12B10,3694582,86.96,92,3.05E-49,171.014
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,276,5,WP_330887457,cytochrome P450 [Ferrovibrio sp.],Ferrovibrio sp.,1917215,87.1,93,7.21E-49,170.629
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,291,1,WP_422060752,cytochrome P450 [Sphingopyxis sp.],Sphingopyxis sp.,1908224,97.94,97,1.57E-58,194.897
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,291,2,MHL4154267,cytochrome P450 [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,50,96,6.45E-24,103.219
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,291,3,WP_198058446,cytochrome P450 [Bisbaumannia pacifica],Bisbaumannia pacifica,77098,52.04,98,2.09E-23,103.219
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,291,4,MHL4586217,cytochrome P450 [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,49.48,97,3.32E-23,102.449
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,291,5,MFN0219698,cytochrome P450 [Hyphomicrobium sp.],Hyphomicrobium sp.,82,52.69,93,3.88E-23,102.449
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,285,1,MCW5906775,cytochrome P450 [Chitinophagales bacterium],Chitinophagales bacterium,2448779,71.43,91,3.94E-41,150.984
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,285,2,MCX6199451,cytochrome P450 [Bacteroidota bacterium],Bacteroidota bacterium,1898104,65.93,91,1.76E-39,146.362
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,285,3,MDB5283901,cytochrome [Bacteroidota bacterium],Bacteroidota bacterium,1898104,66.67,93,3.59E-38,142.895
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,285,4,MBP6732044,cytochrome P450 [Chitinophagales bacterium],Chitinophagales bacterium,2448779,63.74,91,1.15E-37,141.739
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,285,5,MES2619779,cytochrome P450 [Bacteroidota bacterium],Bacteroidota bacterium,1898104,67.03,91,1.95E-37,140.969
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,261,1,MFP5433904,cytochrome P450 [Alphaproteobacteria bacterium],Alphaproteobacteria bacterium,1913988,100,82,2.25E-53,175.637
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,261,2,WP_037523180,cytochrome P450 [Sphingobium yanoikuyae],Sphingobium yanoikuyae,13690,96.34,82,1.26E-48,169.859
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,261,3,MHK4618450,cytochrome P450 [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,84.15,82,1.71E-41,150.984
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,261,4,MPT46965,cytochrome P450 [Sphingobium sp.],Sphingobium sp.,1912891,82.93,82,6.14E-41,149.828
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,261,5,WP_169574409,cytochrome P450 [Sphingobium psychrophilum],Sphingobium psychrophilum,2728834,84.15,82,1.53E-40,148.673
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,288,1,MFN4097559,cytochrome P450 [Sphingomonas sp.],Sphingomonas sp.,28214,94.79,96,2.85E-49,165.622
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,288,2,WP_488275682,cytochrome P450 [Sphingomonas sp.],Sphingomonas sp.,28214,93.75,96,1.02E-45,162.155
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,288,3,PKP94517,MAG: cytochrome P450 [Alphaproteobacteria bacterium HGW-Alphaproteobacteria-16],Alphaproteobacteria bacterium HGW-Alphaproteobacteria-16,2013662,91.67,96,4.89E-44,157.532
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,288,4,WP_264938228,cytochrome P450 [Sphingomonas caeni],Sphingomonas caeni,2984949,90.62,96,5.15E-44,157.532
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,288,5,MEG3180888,cytochrome P450 [Alteristakelama amylovorans],Alteristakelama amylovorans,3096166,90.62,96,1.35E-43,156.377
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,285,1,WP_298603505,cytochrome P450 [uncultured Sphingorhabdus sp.],uncultured Sphingorhabdus sp.,1686106,95.79,95,2.98E-57,192.971
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,285,2,MGB5076494,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,88.42,95,2.33E-52,178.718
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,285,4,WP_425232019,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,84.21,95,1.86E-50,175.252
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,285,3,MFM6852787,cytochrome P450 [Sphingopyxis sp.],Sphingopyxis sp.,1908224,85.26,95,6.42E-51,174.096
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,285,7,MEE9434497,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,77.89,95,6.49E-48,168.703
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,225,3,MGE0883994,bifunctional cytochrome P450/NADPH--P450 reductase [Blastocatellales bacterium],Blastocatellales bacterium,2835631,100,75,5.75E-41,153.295
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,225,1,MBL8192081,cytochrome P450 [Acidobacteriota bacterium],Acidobacteriota bacterium,1978231,98.67,75,1.38E-43,152.91
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,225,4,MHS1996879,bifunctional cytochrome P450/NADPH--P450 reductase [Blastocatellia bacterium],Blastocatellia bacterium,2052146,96,75,4.08E-40,150.984
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,225,6,HQR31512,cytochrome P450 [Blastocatellia bacterium],Blastocatellia bacterium,2052146,96,75,1.09E-39,149.828
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,225,5,MBP6824197,cytochrome P450 [Acidobacteriota bacterium],Acidobacteriota bacterium,1978231,97.33,75,9.43E-40,149.443
A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,237,2,WP_298603505,cytochrome P450 [uncultured Sphingorhabdus sp.],uncultured Sphingorhabdus sp.,1686106,98.73,79,1.22E-45,162.155
A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,237,1,MEW6575432,cytochrome P450 [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,94.94,79,4.05E-47,158.303
A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,237,3,WP_425232019,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,75.95,79,1.13E-34,133.265
