qseqid,qlen,hit_num,accession,title,sciname,taxid,pident,align_len,evalue,bitscore,is_known_caulobacter_source
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,276,1,WP_409762215,cytochrome P450 [Ferrovibrio sp.],Ferrovibrio sp.,1917215,96.74,92,1.31105e-55,188.348,FALSE
A00405_539_HLLNCDSX3_4_2536_7952_30984_1_279_+_0477fcf26c74fdea1d47fdaf9816091b,276,1,WP_374467089,cytochrome P450 [Ferrovibrio sp.],Ferrovibrio sp.,1917215,100,92,1.01579e-55,187.578,FALSE
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,285,1,WP_298603505,cytochrome P450 [uncultured Sphingorhabdus sp.],uncultured Sphingorhabdus sp.,1686106,97.7,87,5.64245e-54,184.496,FALSE
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,264,1,WP_008060652,cytochrome P450 [Methyloversatilis universalis],Methyloversatilis universalis,378211,98.86,88,1.11558e-53,182.185,FALSE
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,288,1,WP_339967613,cytochrome P450 [Novosphingobium aquae],Novosphingobium aquae,3133435,89.58,96,2.76582e-53,181.8,FALSE
A00405_539_HLLNCDSX3_4_2428_25979_27508_1_293_+_ea053f94656145d4f38e54ebc41708ef,291,1,WP_374613945,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,100,97,8.49028e-52,177.948,FALSE
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,261,1,MFP5433904,cytochrome P450 [Alphaproteobacteria bacterium],Alphaproteobacteria bacterium,1913988,100,82,2.2537e-53,175.637,FALSE
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,255,3,WP_298603505,cytochrome P450 [uncultured Sphingorhabdus sp.],uncultured Sphingorhabdus sp.,1686106,98.82,85,1.25325e-50,175.252,FALSE
A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,288,1,WP_298602577,"cytochrome P450, partial [uncultured Sphingorhabdus sp.]",uncultured Sphingorhabdus sp.,1686106,98.77,81,1.78778e-50,172.555,FALSE
A00405_539_HLLNCDSX3_4_2432_21287_25300_1_243_+_ba90b251dbb9fd9fef23b6cb965a7026,240,1,WP_324336981,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,97.5,80,2.80205e-49,171.014,FALSE
A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,291,1,CCO96852,"cytochrome P450 CYP153 alkane hydroxylase, partial [uncultured bacterium]",uncultured bacterium,77133,98.97,97,6.11839e-51,170.629,FALSE
A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,291,6,WP_374614872,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,89.16,83,3.41241e-48,169.088,FALSE
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,249,1,WP_109798736,MULTISPECIES: cytochrome P450 [Novosphingobium],Novosphingobium,165696,96.39,83,1.22718e-48,169.088,FALSE
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,288,1,MFN4097559,cytochrome P450 [Sphingomonas sp.],Sphingomonas sp.,28214,94.79,96,2.84909e-49,165.622,TRUE
A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,237,2,WP_298603505,cytochrome P450 [uncultured Sphingorhabdus sp.],uncultured Sphingorhabdus sp.,1686106,98.73,79,1.2209e-45,162.155,FALSE
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,264,1,WP_293676780,cytochrome P450 [uncultured Phenylobacterium sp.],uncultured Phenylobacterium sp.,349273,87.5,88,3.50479e-44,157.532,FALSE
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,225,3,MGE0883994,bifunctional cytochrome P450/NADPH--P450 reductase [Blastocatellales bacterium],Blastocatellales bacterium,2835631,100,75,5.74559e-41,153.295,FALSE
A00405_539_HLLNCDSX3_4_2562_31548_9627_1_293_+_204cc0636a899ba3f5ce647fe945e729,291,1,MBX7054029,cytochrome P450 [Pyrinomonadaceae bacterium],Pyrinomonadaceae bacterium,2283092,75.27,93,9.33346e-42,152.525,FALSE
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,285,1,MCW5906775,cytochrome P450 [Chitinophagales bacterium],Chitinophagales bacterium,2448779,71.43,91,3.93565e-41,150.984,FALSE
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,210,1,WP_084277342,cytochrome P450 [Novosphingobium sp. B1],Novosphingobium sp. B1,1938756,100,70,2.24526e-38,141.739,FALSE
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,207,1,TXI04457,MAG: cytochrome P450 [Pseudorhodobacter sp.],Pseudorhodobacter sp.,1934400,100,69,2.3948e-38,141.354,FALSE
A00405_539_HLLNCDSX3_4_2551_12111_17769_1_219_+_098c6c33e8818da39a9487e619435839,216,1,WP_374467089,cytochrome P450 [Ferrovibrio sp.],Ferrovibrio sp.,1917215,92.54,67,5.14154e-33,127.487,FALSE
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,228,1,WP_028710496,cytochrome P450 [Paracoccus pantotrophus],Paracoccus pantotrophus,82367,73.33,75,3.08335e-29,117.857,FALSE
