qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,positive_pct,qframe,sframe
A00405_539_HLLNCDSX3_4_2536_7952_30984_1_279_+_0477fcf26c74fdea1d47fdaf9816091b,WP_374467089.1,100,92,0,0,1,276,120,211,1.02E-55,187,100,1,0
A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,WP_298603505.1,97.701,87,2,0,22,282,199,285,5.64E-54,184,98.85,1,0
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,WP_008060652.1,98.864,88,1,0,1,264,317,404,1.12E-53,182,98.86,1,0
A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,WP_339967613.1,89.583,96,10,0,1,288,202,297,2.77E-53,181,97.92,1,0
A00405_539_HLLNCDSX3_4_2428_25979_27508_1_293_+_ea053f94656145d4f38e54ebc41708ef,WP_374613945.1,100,97,0,0,1,291,220,316,8.49E-52,177,100,1,0
A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,WP_298603505.1,98.824,85,1,0,1,255,73,157,1.25E-50,175,98.82,1,0
A00405_539_HLLNCDSX3_4_2142_21486_30686_1_266_-_77a744a9fc5cc226c193bb7f621a2143,MFP5433904.1,100,82,0,0,16,261,63,144,2.25E-53,175,100,1,0
A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,WP_298602577.1,98.765,81,1,0,1,243,94,174,1.79E-50,172,100,1,0
A00405_539_HLLNCDSX3_4_2432_21287_25300_1_243_+_ba90b251dbb9fd9fef23b6cb965a7026,WP_324336981.1,97.5,80,2,0,1,240,338,417,2.80E-49,171,100,1,0
A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,CCO96852.1,98.969,97,1,0,1,291,90,186,6.12E-51,170,100,1,0
A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,WP_374614872.1,89.157,83,9,0,1,249,350,432,3.41E-48,169,93.98,1,0
A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,WP_109798736.1,96.386,83,3,0,1,249,277,359,1.23E-48,169,100,1,0
A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,MFN4097559.1,94.792,96,5,0,1,288,4,99,2.85E-49,165,96.88,1,0
A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,WP_298603505.1,98.734,79,1,0,1,237,284,362,1.22E-45,162,98.73,1,0
A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,WP_293676780.1,87.5,88,11,0,1,264,242,329,3.50E-44,157,95.45,1,0
A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,MGE0883994.1,100,75,0,0,1,225,12,86,5.75E-41,153,100,1,0
A00405_539_HLLNCDSX3_4_2562_31548_9627_1_293_+_204cc0636a899ba3f5ce647fe945e729,MBX7054029.1,75.269,93,23,0,1,279,281,373,9.33E-42,152,89.25,1,0
A00405_539_HLLNCDSX3_4_2134_29966_23202_1_288_+_8eca8314065b3dc0fbb5fe5fed019629,MCW5906775.1,71.429,91,26,0,1,273,331,421,3.94E-41,150,84.62,1,0
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,WP_084277342.1,100,70,0,0,1,210,212,281,2.25E-38,141,100,1,0
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,TXI04457.1,100,69,0,0,1,207,244,312,2.39E-38,141,100,1,0
A00405_539_HLLNCDSX3_4_2551_12111_17769_1_219_+_098c6c33e8818da39a9487e619435839,WP_374467089.1,92.537,67,5,0,1,201,340,406,5.14E-33,127,94.03,1,0
A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,WP_028710496.1,73.333,75,20,0,1,225,269,343,3.08E-29,117,85.33,1,0
