qseqid,sample,pair_status,abundance,f_targets,r_targets,f_target_id,r_target_id,expected_sources,read_best_source_id,read_pident,read_length,mismatch,evalue,read_bitscore,qlen,matches_expected,read_coverage,classification
M03520:605:000000000-LVNKY:1:1101:7522:18422,sd10-2,matched_pair,2,RH.517A9FBA2B494D5Z0Z,RH.517A9FBA2B494D5Z0Z,RH.517A9FBA2B494D5Z0Z,RH.517A9FBA2B494D5Z0Z,A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,A00405_539_HLLNCDSX3_4_2144_25943_22498_1_291_+_b63a675850008016b91f6d9617d49ae1,100,117,0,6.77e-59,217,151,TRUE,0.774834437086093,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1101:7734:11629,as7-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,99.138,116,1,1.13e-56,209,151,TRUE,0.768211920529801,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1101:8840:8240,as20-2,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1102:11377:18416,sd3-1,matched_pair,2,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z,A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,100,146,0,5.13e-75,270,151,TRUE,0.966887417218543,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1102:12002:22815,as25-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1102:12716:24787,as7-1,chimera,1,RH.094E5466924B45EZ0Z,RH.A12CDF2B5C80436Z0Z,RH.094E5466924B45EZ0Z,RH.A12CDF2B5C80436Z0Z,A00405_539_HLLNCDSX3_4_2254_17888_3975_1_290_+_288544c16fc112942b22763b2578b935; A00405_539_HLLNCDSX3_4_2563_32868_30138_1_275_-_c7a2dc8142d6cf6abfecf63974bbc06d,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1102:14920:15446,as10-3,matched_pair,1,RH.2A85EAE5DEAD471Z0Z,RH.2A85EAE5DEAD471Z0Z,RH.2A85EAE5DEAD471Z0Z,RH.2A85EAE5DEAD471Z0Z,A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,99.18,122,1,5.24e-60,220,151,TRUE,0.80794701986755,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1102:18246:16368,sd20-2,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1102:20083:9794,as30-3,chimera,1,RH.17B3832C9C1D403Z0Z,RH.B3BF5B8B809244BZ0Z,RH.17B3832C9C1D403Z0Z,RH.B3BF5B8B809244BZ0Z,A00405_539_HLLNCDSX3_4_1275_28999_6746_1_288_-_01746c8ccbff3ad2c4beef979ee1bde8; A00405_539_HLLNCDSX3_4_1664_16523_27101_1_264_-_3645ed6f02b5ac023bae1385c93611d5,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1102:20815:14016,as10-2,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1102:25861:13276,as7-3,chimera,1,RH.F4E2313A8B92492Z0Z,RH.78B83B8D6A224B1Z0Z,RH.F4E2313A8B92492Z0Z,RH.78B83B8D6A224B1Z0Z,A00405_539_HLLNCDSX3_4_1104_22073_24408_1_293_+_4914a7ba4a2d99ed42b81efb3a62da2b; A00405_539_HLLNCDSX3_4_2568_31955_35697_1_276_+_c92a035b3a55ad1b2109b6fea5d56592,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1102:27410:11086,as20-1,matched_pair,2,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,98.658,149,2,2.39e-73,265,151,TRUE,0.986754966887417,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1102:4529:13769,sd10-3,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1102:9856:6788,as7-3,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1103:11645:8709,sd25-3,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,98.658,149,2,2.39e-73,265,151,TRUE,0.986754966887417,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1103:14425:5713,as3-3,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.B9EF730EBE6C436Z0Z; RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.B9EF730EBE6C436Z0Z|RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba; A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1103:15442:8091,as20-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1103:17998:6283,sd20-2,matched_pair,3,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,A00405_539_HLLNCDSX3_4_2307_13196_28291_1_273_+_08c022a9cdf0c7266ffcd5bb231ae69a,97.351,151,4,3.99e-71,257,151,FALSE,1,Matches a DIFFERENT target -- LEGITIMATE promiscuity signal (high identity + coverage)
M03520:605:000000000-LVNKY:1:1103:18768:11341,sd25-3,matched_pair,1,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z,A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,97.794,136,3,1.87e-64,235,151,TRUE,0.900662251655629,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1103:18904:26746,as15-1,matched_pair,1,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z,A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,98.571,140,2,2.4e-68,248,151,TRUE,0.927152317880795,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1103:23201:19656,as30-3,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1103:9738:7878,sd20-1,matched_pair,4,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z,A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976,100,146,0,5.13e-75,270,151,FALSE,0.966887417218543,Matches a DIFFERENT target -- LEGITIMATE promiscuity signal (high identity + coverage)
M03520:605:000000000-LVNKY:1:1104:10234:15152,sd25-2,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,93.966,116,7,1.15e-46,176,151,TRUE,0.768211920529801,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1104:15260:6029,as30-3,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,97.973,148,3,3.99e-71,257,151,TRUE,0.980132450331126,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1104:15493:20413,sd25-3,matched_pair,3,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z,A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,98.529,136,2,4.02e-66,241,151,TRUE,0.900662251655629,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1104:16770:7186,sd10-3,matched_pair,2,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,99.138,116,1,1.13e-56,209,151,TRUE,0.768211920529801,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1104:16984:24718,sd3-1,chimera,1,RH.228524764FCE499Z0Z,RH.116C818B1AAE419Z0Z,RH.228524764FCE499Z0Z,RH.116C818B1AAE419Z0Z,A00405_539_HLLNCDSX3_4_1618_30427_36276_1_292_-_d3089f241c2dd3022eab2b10f1b56187; A00405_539_HLLNCDSX3_4_2551_12111_17769_1_219_+_098c6c33e8818da39a9487e619435839,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1104:19797:5616,as15-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1104:21275:27998,sd30-2,matched_pair,1,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,99.074,108,1,3.17e-52,195,151,TRUE,0.71523178807947,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1104:23845:21764,sd20-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,95.69,116,5,5.31e-50,187,151,TRUE,0.768211920529801,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1104:24606:20194,as15-1,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1104:24626:17866,as25-1,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1104:9899:12063,as30-2,matched_pair,1,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,99.115,113,1,5.27e-55,204,151,TRUE,0.748344370860927,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1105:10670:28269,sd7-2,matched_pair,1,RH.1CC74B91718A42FZ0Z,RH.1CC74B91718A42FZ0Z,RH.1CC74B91718A42FZ0Z,RH.1CC74B91718A42FZ0Z,A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,98.438,128,2,1.13e-61,226,151,TRUE,0.847682119205298,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1105:14254:11514,as30-3,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1105:18887:18985,sd10-1,matched_pair,1,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z,A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,93.377,151,10,4.05e-61,224,151,TRUE,1,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1105:19658:7070,as7-2,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1105:19789:26235,as25-1,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1105:21574:16517,as15-2,matched_pair,1,RH.0180E4AB5822472Z0Z,RH.0180E4AB5822472Z0Z,RH.0180E4AB5822472Z0Z,RH.0180E4AB5822472Z0Z,A00405_539_HLLNCDSX3_4_1317_10113_16720_1_286_-_31d6140e2ec5a727161b80806ba9a666,A00405_539_HLLNCDSX3_4_1317_10113_16720_1_286_-_31d6140e2ec5a727161b80806ba9a666,99.138,116,1,1.13e-56,209,151,TRUE,0.768211920529801,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1105:24779:18529,as3-2,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1105:4170:17712,as25-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1105:6026:19138,as7-2,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1105:8935:5111,sd30-1,matched_pair,4,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,99.083,109,1,8.83e-53,196,151,TRUE,0.721854304635762,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1105:9301:7785,as3-2,chimera,1,RH.17B3832C9C1D403Z0Z,RH.B3BF5B8B809244BZ0Z,RH.17B3832C9C1D403Z0Z,RH.B3BF5B8B809244BZ0Z,A00405_539_HLLNCDSX3_4_1275_28999_6746_1_288_-_01746c8ccbff3ad2c4beef979ee1bde8; A00405_539_HLLNCDSX3_4_1664_16523_27101_1_264_-_3645ed6f02b5ac023bae1385c93611d5,,,,,,,,FALSE,,No whole-read match to any target
