qseqid,sseqid,pident,length,mismatch,qstart,qend,sstart,send,evalue,bitscore,target_id,orientation
M03520:605:000000000-LVNKY:1:1106:2259:12316,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1109:21749:6956,RH.609947B6947F457Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.609947B6947F457Z0Z,F
M03520:605:000000000-LVNKY:1:1110:20293:6074,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1110:26618:23734,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1110:7569:15262,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1111:19666:15875,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1111:21480:18739,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1111:26790:8619,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1111:27173:16106,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1112:6336:5417,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1113:15335:15360,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1113:26183:19261,RH.609947B6947F457Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.609947B6947F457Z0Z,F
M03520:605:000000000-LVNKY:1:1114:15295:21560,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1114:27267:16066,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1114:28048:19972,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1114:8121:15940,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2101:9313:19006,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2102:11679:26350,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2102:15584:12208,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2102:20058:6159,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2103:9652:9247,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2104:10056:17691,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2104:17945:23355,RH.DFDFC4BAE42E446Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.DFDFC4BAE42E446Z0Z,F
M03520:605:000000000-LVNKY:1:2104:9766:8017,RH.609947B6947F457Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.609947B6947F457Z0Z,F
M03520:605:000000000-LVNKY:1:2105:20761:10836,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2106:14934:24756,RH.472FFF3FDAC74C3Z0Z_R,100,21,0,71,91,21,1,2.87e-07,42.1,RH.472FFF3FDAC74C3Z0Z,R
M03520:605:000000000-LVNKY:1:2106:19640:6668,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2106:9535:22382,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2107:11925:13504,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2107:25646:9426,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2108:22748:14220,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2108:24911:20038,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2108:2724:18450,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2109:24477:10373,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2110:15211:14610,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2110:22030:14600,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2110:23470:5972,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2110:5286:21306,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2110:8581:12392,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2111:3758:9308,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2111:6064:17948,RH.609947B6947F457Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.609947B6947F457Z0Z,F
M03520:605:000000000-LVNKY:1:2112:20940:14095,RH.609947B6947F457Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.609947B6947F457Z0Z,F
M03520:605:000000000-LVNKY:1:2112:9061:16390,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2113:21430:11122,RH.609947B6947F457Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.609947B6947F457Z0Z,F
M03520:605:000000000-LVNKY:1:2113:22996:11326,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2114:21736:14322,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2114:22894:10780,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2114:26330:12598,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2114:4691:11983,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2114:9336:8525,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1101:19085:12115,RH.3B2B2BB86AB94D3Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1101:25010:23879,RH.3B2B2BB86AB94D3Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1102:25861:13276,RH.F4E2313A8B92492Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.F4E2313A8B92492Z0Z,F
M03520:605:000000000-LVNKY:1:1102:4529:13769,RH.3B2B2BB86AB94D3Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1110:14996:16831,RH.F4E2313A8B92492Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.F4E2313A8B92492Z0Z,F
M03520:605:000000000-LVNKY:1:1112:22166:10512,RH.3B2B2BB86AB94D3Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1113:11011:6941,RH.3B2B2BB86AB94D3Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2101:2388:18658,RH.F4E2313A8B92492Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.F4E2313A8B92492Z0Z,F
M03520:605:000000000-LVNKY:1:2104:11536:16364,RH.F4E2313A8B92492Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.F4E2313A8B92492Z0Z,F
M03520:605:000000000-LVNKY:1:2104:21832:7005,RH.3B2B2BB86AB94D3Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2107:20795:11651,RH.3B2B2BB86AB94D3Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2111:4099:20348,RH.3B2B2BB86AB94D3Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2112:18504:5674,RH.3B2B2BB86AB94D3Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:2112:19301:22133,RH.3B2B2BB86AB94D3Z0Z_F,100,20,0,1,20,1,20,1.13e-06,40.1,RH.3B2B2BB86AB94D3Z0Z,F
